row_id,planet_name,planet_host,num_stars,num_planets,discovery_method,discovery_year,discovery_facility,orbital_period_days,semi_major_axis_au,planet_mass_earth,eccentricity,insolation_flux_earth,equilibrium_temperature_k,spectral_type,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,stellar_metallicity_dex,stellar_metallicity_ratio_raw,stellar_logg_cgs,distance_pc,gaia_magnitude,stellar_metallicity_ratio_clean,discovery_method_group,hz_reported,flux_zone_reported,log10_insolation_reported,log10_orbital_period_days,log10_semi_major_axis_au,log10_planet_mass_earth,stellar_teff_1000k,stellar_luminosity_solar,semi_major_axis_kepler_au,semi_major_axis_best_au,semi_major_axis_source,insolation_derived_earth,log10_insolation_derived,hz_derived,flux_zone_derived,earth_equivalent_period_days,period_to_earth_equivalent_ratio,log10_period_to_earth_equivalent_ratio,stellar_logg_calculated_cgs,reported_to_derived_flux_ratio,reported_derived_zone_agreement,orbital_period_days_missing,semi_major_axis_au_missing,planet_mass_earth_missing,eccentricity_missing,insolation_flux_earth_missing,equilibrium_temperature_k_missing,spectral_type_missing,stellar_teff_k_missing,stellar_radius_solar_missing,stellar_mass_solar_missing,stellar_metallicity_dex_missing,stellar_metallicity_ratio_raw_missing,stellar_logg_cgs_missing,distance_pc_missing,gaia_magnitude_missing,eligible_reported_core_model,eligible_derived_flux_analysis
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,6165.6,0.231,,,G8 III,4742.0,19.0,2.7,-0.35,[Fe/H],2.31,93.1846,4.44038,[Fe/H],Radial Velocity,,,,2.513257563979005,0.11058971029924898,3.789975345977952,4.742,164.45538954635947,1.2909204508159144,1.29,catalog_semi_major_axis,98.82542488213416,1.994868690190011,0,too_hot,10208.088478075677,0.031938398721781044,-1.4956868616392172,2.311856562253329,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,4684.8142,0.08,,,,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,125.321,4.56216,[Fe/H],Radial Velocity,,,,2.7128348012404855,0.1846914308175988,3.67069237142127,4.213,251.88456364621857,1.7708345350668484,1.53,catalog_semi_major_axis,107.60159068999896,2.0318186916164542,0,too_hot,13850.61289694101,0.03727055068545091,-1.42863419034555,1.9339037894879887,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
3,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,1525.5,0.0,,,K0 III,4813.0,11.0,2.2,-0.24,[Fe/H],2.63,75.4392,4.91781,[Fe/H],Radial Velocity,,,,2.269139196792179,-0.08092190762392612,3.183412211978426,4.813,58.49833797989477,0.8289090381485654,0.83,catalog_semi_major_axis,84.91557262286946,1.9289873425879098,0,too_hot,5208.786175611149,0.03567817793522602,-1.4475973329080956,2.697637310505756,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,1481.0878,0.37,,,,5338.0,0.93,0.9,0.41,[Fe/H],4.45,17.9323,6.383,[Fe/H],Radial Velocity,,,,3.2488067090265935,0.4668676203541095,3.1705808045882375,5.338,0.6326665673971842,2.7683765347453493,2.93,catalog_semi_major_axis,0.07369527512227098,-1.1325603554802195,0,too_cold,273.1178806990226,6.493167036376856,0.8124565752189219,4.4552766123314544,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,565.7374,0.68,,,,5750.0,1.13,1.08,0.06,[Fe/H],4.36,21.1397,6.06428,[Fe/H],Radial Velocity,,,,2.9022749204745018,0.22010808804005508,2.7526148902071315,5.75,1.2575433820427473,1.7282147830336962,1.66,catalog_semi_major_axis,0.45635918930278246,-0.34069320004057535,1,habitable_zone,417.3693748989836,1.9131734334682842,0.28175434158199114,4.36526686852011,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
6,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,1373.01872,0.06,,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],1.7,124.953,4.75429,[Fe/H],Radial Velocity,,,,2.762213266928569,0.16136800223497488,3.1376764585312036,4.157,180.75270392540804,1.451672462106432,1.45,catalog_semi_major_axis,85.97037047581833,1.9343487982661944,0,too_hot,16301.36273314891,0.03548046929989854,-1.4500106443924994,1.6970898362776365,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,3273.5,0.08,,,G6 III,4979.0,8.5,2.3,-0.052,[Fe/H],2.82,76.222,5.27476,[Fe/H],Radial Velocity,,,,2.9970804354717306,0.414973347970818,3.5150123452580155,4.979,40.00378337380428,2.571793450108239,2.6,catalog_semi_major_axis,5.917719433994716,0.772154370902961,0,too_hot,3830.9113898119585,0.25928555869018843,-0.586221671259255,2.940889984589007,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330.0,3000.0,,,1700.0,K7 V,4060.0,,0.85,,,,139.135,12.0572,,Imaging,,,,,2.5185139398778875,3.4771212547196626,4.06,,,330.0,catalog_semi_major_axis,,,,,,,,,,,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0
9,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,289.2253,0.042,,,G3 IV,4893.0,10.64,0.99,-0.77,[Fe/H],2.42,95.9863,5.3339,[Fe/H],Radial Velocity,,,,1.4821672810492816,-0.721246399047171,2.461236280219331,4.893,58.462694701287596,0.1897855323909224,0.19,catalog_semi_major_axis,1619.4652271824818,3.2093716273663273,0,too_hot,7761.251365474013,0.003910529187988277,-2.4077644682122665,2.3797519386794908,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,632.46,0.09,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,6.20374,[Fe/H],Radial Velocity,,,,2.6559064181802152,0.1248301494138592,2.8010330637156744,5.098,14.611210410324077,1.3326549066955387,1.333,catalog_semi_major_axis,8.222916800275131,0.9150258960764776,0,too_hot,2199.6040485570206,0.20585523121629315,-0.6864380921860348,3.2451285607794347,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
11,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883.0,2.08,273.32,0.29,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,6.20374,[Fe/H],Radial Velocity,,,,2.9459607035775686,0.31806333496276157,2.4366714120506496,5.098,14.611210410324077,2.0801144275750323,2.08,catalog_semi_major_axis,3.3772213411436933,0.5285595249786729,0,too_hot,2199.6040485570206,0.4014358859628685,-0.3963838067886812,3.2451285607794347,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84.0,4131.79,,,,M5.5/M6,,,0.19,,,,,,,Imaging,,,,,1.9242792860618816,3.616138240205074,,,,84.0,catalog_semi_major_axis,,,,,,,,,,,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52.0,7786.5,,,,M3.5 V,3530.0,,0.4,,,,33.8281,12.9025,,Imaging,,,,,1.7160033436347992,3.8913422879345303,3.53,,,52.0,catalog_semi_major_axis,,,,,,,,,,,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156.0,4417.837,,,,M6,3064.0,0.28,0.11,,,4.59,,15.0123,,Imaging,,,,,2.1931245983544616,3.6452096881523324,3.064,0.006225379293785996,,156.0,catalog_semi_major_axis,2.5580947130941796e-07,-6.592083379868046,0,too_cold,24.407216003031387,,,4.585076622473786,,,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15.0,2383.6,,,,M8.5,,,0.02,,,,,18.9668,,Imaging,,,,,1.1760912590556813,3.377233376752749,,,,15.0,catalog_semi_major_axis,,,,,,,,,,,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0
16,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55.0,1589.15,,,1250.0,M8,,,0.02,,,,64.308,17.4076,,Imaging,,,,,1.7403626894942439,3.201164892234256,,,,55.0,catalog_semi_major_axis,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
17,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,416.0,0.92,603.877,,,,,,,0.48,,,,396.332,12.1376,,Other methods,,,,2.6190933306267428,-0.036212172654444715,2.7809484888510663,,,0.8539173082691406,0.92,catalog_semi_major_axis,,,,,,,,,,,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0
18,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,7336.5,,6657.48,0.26,,2075.0,M8.5,2300.0,0.12,0.08,,,,,17.3961,,Imaging,,,,3.8654889218769637,,3.823309870431642,2.3,0.0003630517600095846,3.1839222983773126,3.1839222983773126,kepler_from_period,3.581324101722093e-05,-4.44595637454234,0,too_cold,3.396421965989717,2160.0672924225846,3.334467280906755,5.182727494896694,,,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230.0,3972.875,,,,K7 V,4045.0,,0.6,,,,69.5737,11.9484,,Imaging,,,,,2.361727836017593,3.5991049009062936,4.045,,,230.0,catalog_semi_major_axis,,,,,,,,,,,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
20,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,4392.4106,0.29,,,,6331.0,1.41,1.93,0.19,[Fe/H],4.43,44.657,6.96085,[Fe/H],Radial Velocity,,,,2.525174440795417,-0.004364805402450088,3.6427029309364167,6.331,2.877545435415301,1.1755521870230141,0.99,catalog_semi_major_axis,2.9359712635601483,0.46775180051571796,0,too_hot,580.8690171945944,0.576894274062718,-0.23890377159014387,4.425119083697014,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
21,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,2256.5,0.432,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],1.8,73.4603,4.23773,[Fe/H],Radial Velocity,,,,2.4302363534115106,-0.060480747381381476,3.3534353378561645,4.415,112.26760102872402,0.8744449144522037,0.87,catalog_semi_major_axis,148.32553973936322,2.171215937359403,0,too_hot,11358.696639046027,0.023708706074099136,-1.625092147422605,2.012068210811281,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,1233.13,0.38,,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],1.71,90.6545,4.43216,[Fe/H],Radial Velocity,,,,2.6804261708581456,0.07554696139253074,3.0910088635434594,4.2,136.05699232114094,1.1902348331065058,1.19,catalog_semi_major_axis,96.07866133828186,1.9826269434222494,0,too_hot,14698.324675868647,0.032595551572389386,-1.4868416655574246,1.7431970813909596,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
23,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078.0,2.1,804.08,0.032,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,4.87837,[M/H],Radial Velocity,,,,3.03261876085072,0.3222192947339193,2.9052992599799583,5.872,1.568229570265789,2.0979138298309588,2.1,catalog_semi_major_axis,0.3556076123051675,-0.4490289508887085,1,habitable_zone,497.15810150184245,2.168324315229941,0.336124239942423,4.29773512463187,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
24,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391.0,3.6,171.621,0.098,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,4.87837,[M/H],Radial Velocity,,,,3.378579576115775,0.5563025007672873,2.2345704281870007,5.872,1.568229570265789,3.5680274708819395,3.6,catalog_semi_major_axis,0.12100536807606395,-0.9171953629554445,0,too_cold,497.15810150184245,4.809335285449711,0.6820850552074779,4.29773512463187,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
