column,missing_count,missing_percent
No.,0,0.0
Planet Name,0,0.0
Planet Host,0,0.0
Num Stars,0,0.0
Num Planets,0,0.0
Discovery Method,0,0.0
Discovery Year,0,0.0
Discovery Facility,0,0.0
Distance,104,2.273224043715847
Orbital Period Days,162,3.540983606557377
Gaia Magnitude,175,3.825136612021858
Stellar Effective Temperature,349,7.628415300546449
Stellar Radius,447,9.770491803278688
Stellar Surface Gravity,603,13.180327868852459
Stellar Mass,731,15.978142076502733
Stellar Metallicity,1371,29.9672131147541
Stellar Metallicity Ratio,1383,30.229508196721312
Orbit Semi-Major Axis,1812,39.60655737704918
Mass,2569,56.15300546448088
Eccentricity,2868,62.68852459016393
Spectral Type,3647,79.71584699453553
Equilibrium Temperature,3650,79.78142076502732
Insolation Flux,4205,91.91256830601094
