discovery_method_scope,feature,cliffs_delta_hz_vs_non_hz,ci_low_95,ci_high_95,planets,hosts,hz_planets,hz_hosts,bootstrap_replicates
All methods,Log10 orbital period,0.6229416167664671,0.4534068145758309,0.7931594103477169,366,264,32,26,4000
All methods,Log10 stellar temperature,-0.5791541916167665,-0.7345453960120616,-0.39520124705728527,366,264,32,26,4000
All methods,Log10 stellar radius,-0.5878555389221557,-0.7442332379644763,-0.40160156188075646,366,264,32,26,4000
All methods,Log10 stellar mass,-0.5894461077844312,-0.7504595482827384,-0.4012716773469462,366,264,32,26,4000
Transit,Log10 orbital period,0.748395378690629,0.4955873300463171,0.9277778217717243,306,232,19,16,4000
Transit,Log10 stellar temperature,-0.5769301302035577,-0.7444214597446587,-0.36169427064163895,306,232,19,16,4000
Transit,Log10 stellar radius,-0.5789473684210527,-0.734244179525389,-0.37231008316447145,306,232,19,16,4000
Transit,Log10 stellar mass,-0.5838987713185403,-0.7541670150501673,-0.3627810098759797,306,232,19,16,4000
Radial Velocity,Log10 orbital period,0.12274959083469722,-0.1967711287577992,0.4700925925925926,60,37,13,10,4000
Radial Velocity,Log10 stellar temperature,-0.502454991816694,-0.8474687388882304,-0.027176508901432788,60,37,13,10,4000
Radial Velocity,Log10 stellar radius,-0.5040916530278232,-0.8533345864661654,-0.0444182389937106,60,37,13,10,4000
Radial Velocity,Log10 stellar mass,-0.5351882160392799,-0.876825266611977,-0.08420251623376607,60,37,13,10,4000
