row_id,planet_name,planet_host,discovery_method_group,orbital_period_days,planet_mass_earth,cluster_numeric_id,cluster_label,hz_reported,hz_derived,flux_zone_reported,flux_zone_derived,giant_or_evolved_host_flag,compact_or_hot_subdwarf_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag
1,11 Com b,11 Com,Radial Velocity,326.03,6165.6,2,Long-period giants,,0.0,,too_hot,True,False,False,True,False
2,11 UMi b,11 UMi,Radial Velocity,516.21997,4684.8142,2,Long-period giants,,0.0,,too_hot,True,False,False,True,False
3,14 And b,14 And,Radial Velocity,185.84,1525.5,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
4,14 Her b,14 Her,Radial Velocity,1773.40002,1481.0878,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
5,16 Cyg B b,16 Cyg B,Radial Velocity,798.5,565.7374,2,Long-period giants,,1.0,,habitable_zone,False,False,False,False,False
6,17 Sco b,17 Sco,Radial Velocity,578.38,1373.01872,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
7,18 Del b,18 Del,Radial Velocity,993.3,3273.5,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
9,24 Boo b,24 Boo,Radial Velocity,30.3506,289.2253,1,Hot/warm giants,,0.0,,too_hot,True,False,False,False,False
10,24 Sex b,24 Sex,Radial Velocity,452.8,632.46,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
11,24 Sex c,24 Sex,Radial Velocity,883.0,273.32,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
17,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Other methods,416.0,603.877,2,Long-period giants,,,,,False,False,False,False,False
18,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,Imaging,7336.5,6657.48,2,Long-period giants,,0.0,,too_cold,False,False,False,True,False
20,30 Ari B b,30 Ari B,Radial Velocity,335.10001,4392.4106,2,Long-period giants,,0.0,,too_hot,False,False,False,True,False
21,4 UMa b,4 UMa,Radial Velocity,269.3,2256.5,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
22,42 Dra b,42 Dra,Radial Velocity,479.1,1233.13,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
23,47 UMa b,47 UMa,Radial Velocity,1078.0,804.08,2,Long-period giants,,1.0,,habitable_zone,False,False,False,False,False
24,47 UMa c,47 UMa,Radial Velocity,2391.0,171.621,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
25,47 UMa d,47 UMa,Radial Velocity,14002.0,521.22,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
27,51 Peg b,51 Peg,Radial Velocity,4.230785,150.009,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
28,55 Cnc b,55 Cnc,Radial Velocity,14.6516,255.4,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
29,55 Cnc c,55 Cnc,Radial Velocity,44.3989,51.2,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
30,55 Cnc d,55 Cnc,Radial Velocity,5574.2,991.6,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
31,55 Cnc e,55 Cnc,Radial Velocity,0.7365474,7.99,0,Low-mass short-period,,0.0,,too_hot,False,False,True,False,False
32,55 Cnc f,55 Cnc,Radial Velocity,259.88,47.8,3,Intermediate-mass moderate-period,,1.0,,habitable_zone,False,False,False,False,False
33,6 Lyn b,6 Lyn,Radial Velocity,934.3,638.8383,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
34,61 Vir b,61 Vir,Radial Velocity,4.215,5.1,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
35,61 Vir c,61 Vir,Radial Velocity,38.021,18.2,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
36,61 Vir d,61 Vir,Radial Velocity,123.01,22.9,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
37,7 CMa b,7 CMa,Radial Velocity,735.1,587.9855,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
38,7 CMa c,7 CMa,Radial Velocity,996.0,276.5121,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
39,70 Vir b,70 Vir,Radial Velocity,116.688,2357.02728,2,Long-period giants,,0.0,,too_hot,False,False,False,False,False
40,75 Cet b,75 Cet,Radial Velocity,691.9,953.49,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
41,8 UMi b,8 UMi,Radial Velocity,93.4,416.3573,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
42,81 Cet b,81 Cet,Radial Velocity,952.7,1684.4,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
43,91 Aqr b,91 Aqr,Radial Velocity,181.4,1017.0,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
