repeat,fold,model,threshold
0,0,Additive logistic,0.1949999999999999
0,0,Interaction logistic,0.3025
0,1,Additive logistic,0.1828523832368914
0,1,Interaction logistic,0.2099999999999999
0,2,Additive logistic,0.2199999999999999
0,2,Interaction logistic,0.261586881579511
0,3,Additive logistic,0.2349999999999999
0,3,Interaction logistic,0.2399999999999999
0,4,Additive logistic,0.2024999999999999
0,4,Interaction logistic,0.2049999999999999
0,5,Additive logistic,0.2274999999999999
0,5,Interaction logistic,0.2249999999999999
1,0,Additive logistic,0.1949999999999999
1,0,Interaction logistic,0.3382848244777565
1,1,Additive logistic,0.2724999999999999
1,1,Interaction logistic,0.2402180262540612
1,2,Additive logistic,0.2825
1,2,Interaction logistic,0.2875
1,3,Additive logistic,0.2599999999999999
1,3,Interaction logistic,0.2256854926944028
1,4,Additive logistic,0.290058378026939
1,4,Interaction logistic,0.3164096130345649
1,5,Additive logistic,0.2024999999999999
1,5,Interaction logistic,0.1874999999999999
2,0,Additive logistic,0.1999999999999999
2,0,Interaction logistic,0.2399999999999999
2,1,Additive logistic,0.2399999999999999
2,1,Interaction logistic,0.2399999999999999
2,2,Additive logistic,0.3299999999999999
2,2,Interaction logistic,0.3104514494360641
2,3,Additive logistic,0.1602283395718289
2,3,Interaction logistic,0.1924999999999999
2,4,Additive logistic,0.2724999999999999
2,4,Interaction logistic,0.2976740735841859
2,5,Additive logistic,0.2224999999999999
2,5,Interaction logistic,0.2199999999999999
3,0,Additive logistic,0.2253228139569879
3,0,Interaction logistic,0.2249999999999999
3,1,Additive logistic,0.1799999999999999
3,1,Interaction logistic,0.2214917529134872
3,2,Additive logistic,0.3249999999999999
3,2,Interaction logistic,0.295
3,3,Additive logistic,0.365
3,3,Interaction logistic,0.2083451451022084
3,4,Additive logistic,0.1615103465154635
3,4,Interaction logistic,0.1830205197831926
3,5,Additive logistic,0.2199999999999999
3,5,Interaction logistic,0.2149999999999999
4,0,Additive logistic,0.1649999999999999
4,0,Interaction logistic,0.1824999999999999
4,1,Additive logistic,0.2174999999999999
4,1,Interaction logistic,0.2124999999999999
4,2,Additive logistic,0.310202189212605
4,2,Interaction logistic,0.1724999999999999
4,3,Additive logistic,0.3032132936186693
4,3,Interaction logistic,0.305
4,4,Additive logistic,0.1911852216298458
4,4,Interaction logistic,0.1970613906171638
4,5,Additive logistic,0.3487639716796737
4,5,Interaction logistic,0.2459643398418702
5,0,Additive logistic,0.2549999999999999
5,0,Interaction logistic,0.3299999999999999
5,1,Additive logistic,0.2049999999999999
5,1,Interaction logistic,0.2299999999999999
5,2,Additive logistic,0.1868814949178745
5,2,Interaction logistic,0.1874999999999999
5,3,Additive logistic,0.1681589166281666
5,3,Interaction logistic,0.1874999999999999
5,4,Additive logistic,0.2799999999999999
5,4,Interaction logistic,0.2724999999999999
5,5,Additive logistic,0.2182473664531416
5,5,Interaction logistic,0.237591045228545
6,0,Additive logistic,0.2724999999999999
6,0,Interaction logistic,0.309823515902671
6,1,Additive logistic,0.2850058406314189
6,1,Interaction logistic,0.3224999999999999
6,2,Additive logistic,0.2174999999999999
6,2,Interaction logistic,0.2174999999999999
6,3,Additive logistic,0.269444897808708
6,3,Interaction logistic,0.305
6,4,Additive logistic,0.1974999999999999
6,4,Interaction logistic,0.2141020365634224
6,5,Additive logistic,0.2875
6,5,Interaction logistic,0.3025
7,0,Additive logistic,0.2074999999999999
7,0,Interaction logistic,0.2432387473700603
7,1,Additive logistic,0.2349999999999999
7,1,Interaction logistic,0.2324999999999999
7,2,Additive logistic,0.2174999999999999
7,2,Interaction logistic,0.2202633400460509
7,3,Additive logistic,0.2875
7,3,Interaction logistic,0.2875
7,4,Additive logistic,0.2099999999999999
7,4,Interaction logistic,0.2124999999999999
7,5,Additive logistic,0.3002411314107741
7,5,Interaction logistic,0.2099999999999999
8,0,Additive logistic,0.3025
8,0,Interaction logistic,0.2925
8,1,Additive logistic,0.2076640707359868
8,1,Interaction logistic,0.2124999999999999
8,2,Additive logistic,0.1999999999999999
8,2,Interaction logistic,0.1749999999999999
8,3,Additive logistic,0.3494602470141361
8,3,Interaction logistic,0.3199999999999999
8,4,Additive logistic,0.1949999999999999
8,4,Interaction logistic,0.1924999999999999
8,5,Additive logistic,0.3224999999999999
8,5,Interaction logistic,0.295
9,0,Additive logistic,0.3299999999999999
9,0,Interaction logistic,0.2049999999999999
9,1,Additive logistic,0.2927708726086649
9,1,Interaction logistic,0.2929215650701754
9,2,Additive logistic,0.2703505865348331
9,2,Interaction logistic,0.2024999999999999
9,3,Additive logistic,0.1924999999999999
9,3,Interaction logistic,0.2449999999999999
9,4,Additive logistic,0.3444186535190894
9,4,Interaction logistic,0.345
9,5,Additive logistic,0.2729716713907519
9,5,Interaction logistic,0.2789692074750888
10,0,Additive logistic,0.1790643105895645
10,0,Interaction logistic,0.2585430678149741
10,1,Additive logistic,0.3249999999999999
10,1,Interaction logistic,0.3274999999999999
10,2,Additive logistic,0.3025
10,2,Interaction logistic,0.1949999999999999
10,3,Additive logistic,0.3000133856932545
10,3,Interaction logistic,0.3075
10,4,Additive logistic,0.1824999999999999
10,4,Interaction logistic,0.1949999999999999
10,5,Additive logistic,0.1849999999999999
10,5,Interaction logistic,0.2124999999999999
11,0,Additive logistic,0.1874999999999999
11,0,Interaction logistic,0.29
11,1,Additive logistic,0.2324999999999999
11,1,Interaction logistic,0.2374999999999999
11,2,Additive logistic,0.2020721278551228
11,2,Interaction logistic,0.2181743548252017
11,3,Additive logistic,0.2249999999999999
11,3,Interaction logistic,0.2074999999999999
11,4,Additive logistic,0.2049999999999999
11,4,Interaction logistic,0.2049999999999999
11,5,Additive logistic,0.2100644864004379
11,5,Interaction logistic,0.2024999999999999
12,0,Additive logistic,0.1624999999999999
12,0,Interaction logistic,0.1824999999999999
12,1,Additive logistic,0.2399999999999999
12,1,Interaction logistic,0.2439103686932243
12,2,Additive logistic,0.2174999999999999
