model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap
Prevalence baseline,PR-AUC,0.0766865079365079,0.0495389159451659,0.1077302038239538,0.0766414141414141,3000
Prevalence baseline,Recall,0.0,0.0,0.0,0.0,3000
Prevalence baseline,Precision,0.0,0.0,0.0,0.0,3000
Prevalence baseline,F1,0.0,0.0,0.0,0.0,3000
Prevalence baseline,MCC,0.0,0.0,0.0,0.0,3000
Prevalence baseline,Log loss,0.2713831296341059,0.2034320416197197,0.3491407481054131,0.2712246831257376,3000
Prevalence baseline,Brier score,0.0709150747723561,0.0478638855015803,0.0972629647456365,0.0708768140453402,3000
Additive logistic,PR-AUC,0.4973080609620238,0.3578548968261757,0.6946992910048239,0.5195032893329194,3000
Additive logistic,Recall,0.6554157356227215,0.4594696780944787,0.8427025434279036,0.6577320981133776,3000
Additive logistic,Precision,0.4484590005632896,0.2933279734099892,0.6131948605746691,0.4492049510695973,3000
Additive logistic,F1,0.5325370281892021,0.3744458488241111,0.6742365916983519,0.5358670221783826,3000
Additive logistic,MCC,0.496377232675237,0.3333062321675076,0.6484175793975142,0.5006498350942827,3000
Additive logistic,Log loss,0.1525763786484646,0.1150010646680964,0.1954214347647968,0.152217101958793,3000
Additive logistic,Brier score,0.0494193620215477,0.03469017186569,0.0662547890029559,0.0493549360705451,3000
Interaction logistic,PR-AUC,0.5250968524166152,0.3804693603174335,0.7213345438971129,0.5464024167786019,3000
Interaction logistic,Recall,0.7283311772315654,0.5373415588786172,0.9059972889177828,0.7346027165078199,3000
Interaction logistic,Precision,0.4504982905361169,0.2971282151014598,0.6087482497586252,0.4529507154692039,3000
Interaction logistic,F1,0.5566741573033708,0.3981850856698267,0.6934398769925945,0.5596366240492375,3000
Interaction logistic,MCC,0.5284932923956223,0.3705917377590166,0.6734721536467423,0.5333640318103623,3000
Interaction logistic,Log loss,0.1492092392213646,0.1137965819652113,0.1905010384670559,0.1490067678858126,3000
Interaction logistic,Brier score,0.0483723200347229,0.0343124076001757,0.0645426113856994,0.0482824626424186,3000
