model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap,scope,table_type,delta_estimate,bootstrap_probability_interaction_better,direction
Additive logistic,PR-AUC,0.5355456721583577,0.34483835068569124,0.833374668157574,0.5649483098268326,2500,Transit,performance,,,
Additive logistic,ROC-AUC,0.9726487455593691,0.9512782874089734,0.9902640424852834,0.9734567856803038,2500,Transit,performance,,,
Additive logistic,Recall,0.7565922920892495,0.5179728244016576,0.9857849615340532,0.7627179579363653,2500,Transit,performance,,,
Additive logistic,Precision,0.44563918757467147,0.24526566308715989,0.6438124505168158,0.44280088284935304,2500,Transit,performance,,,
Additive logistic,F1,0.5609022556390978,0.34534059629962854,0.730430611165672,0.5585598395770668,2500,Transit,performance,,,
Additive logistic,MCC,0.5495082919329827,0.34247153808117414,0.726252584363271,0.5506651682291911,2500,Transit,performance,,,
Additive logistic,Balanced accuracy,0.85056214037176,0.7285957267639053,0.96375096398156,0.8530562018555066,2500,Transit,performance,,,
Additive logistic,Log loss,0.10708361496806312,0.07347339404055106,0.14245041845499615,0.10615613535501293,2500,Transit,performance,,,
Additive logistic,Brier score,0.033510562267550406,0.020274554476551566,0.04765695600022102,0.03315529898027211,2500,Transit,performance,,,
Interaction logistic,PR-AUC,0.5675802346485894,0.36850313676296603,0.8689887943377528,0.5948236637312905,2500,Transit,performance,,,
Interaction logistic,ROC-AUC,0.9751047373088111,0.9537723164009582,0.992252005859861,0.9758778820058307,2500,Transit,performance,,,
Interaction logistic,Recall,0.7676562788124655,0.5255252874846489,1.0,0.7732997481108312,2500,Transit,performance,,,
Interaction logistic,Precision,0.4360532104325966,0.24041427502485996,0.6285759326140009,0.4338632190675493,2500,Transit,performance,,,
Interaction logistic,F1,0.5561790247160988,0.347360248447205,0.7247338751216162,0.5527100044341424,2500,Transit,performance,,,
Interaction logistic,MCC,0.5468629390695661,0.34418721141507264,0.7215766961663177,0.5485223505478849,2500,Transit,performance,,,
Interaction logistic,Balanced accuracy,0.8545726757419099,0.7312368341692956,0.9702602067580437,0.8573117414549183,2500,Transit,performance,,,
Interaction logistic,Log loss,0.10690785021061683,0.0733832662951783,0.1415416008325607,0.10599085112708023,2500,Transit,performance,,,
Interaction logistic,Brier score,0.033544792892270664,0.020288810803310242,0.04735815614841928,0.03318490658495374,2500,Transit,performance,,,
Interaction minus additive,PR-AUC,0.03203456249023173,-0.01950291350823648,0.12112894573827732,,2500,Transit,contrast,0.03203456249023173,0.8232,interaction minus additive; positive favors interaction
