repeat,fold,train_rows,test_rows,train_hosts,test_hosts,train_positive_rows,test_positive_rows,train_positive_hosts,test_positive_hosts
0,0,306,60,217,47,27,5,21,5
0,1,306,60,221,43,27,5,22,4
0,2,305,61,219,45,27,5,22,4
0,3,305,61,226,38,26,6,22,4
0,4,303,63,217,47,26,6,22,4
0,5,305,61,220,44,27,5,21,5
1,0,306,60,221,43,27,5,22,4
1,1,303,63,217,47,26,6,21,5
1,2,305,61,220,44,26,6,21,5
1,3,306,60,227,37,27,5,23,3
1,4,305,61,217,47,27,5,22,4
1,5,305,61,218,46,27,5,21,5
2,0,304,62,216,48,26,6,20,6
2,1,305,61,223,41,27,5,23,3
2,2,306,60,219,45,27,5,22,4
2,3,306,60,222,42,27,5,21,5
2,4,306,60,219,45,27,5,22,4
2,5,303,63,221,43,26,6,22,4
3,0,304,62,223,41,26,6,22,4
3,1,305,61,221,43,27,5,22,4
3,2,306,60,217,47,27,5,21,5
3,3,306,60,221,43,27,5,22,4
3,4,306,60,219,45,27,5,22,4
3,5,303,63,219,45,26,6,21,5
4,0,305,61,219,45,27,5,21,5
4,1,303,63,221,43,26,6,21,5
4,2,306,60,217,47,27,5,21,5
4,3,305,61,218,46,27,5,21,5
4,4,305,61,222,42,26,6,23,3
4,5,306,60,223,41,27,5,23,3
5,0,302,64,218,46,25,7,20,6
5,1,305,61,223,41,27,5,22,4
5,2,305,61,219,45,27,5,21,5
5,3,306,60,219,45,27,5,22,4
5,4,306,60,217,47,27,5,22,4
5,5,306,60,224,40,27,5,23,3
6,0,304,62,220,44,26,6,20,6
6,1,306,60,223,41,27,5,23,3
6,2,306,60,221,43,27,5,22,4
6,3,303,63,219,45,26,6,21,5
6,4,306,60,217,47,27,5,22,4
6,5,305,61,220,44,27,5,22,4
7,0,305,61,217,47,27,5,21,5
7,1,303,63,219,45,26,6,21,5
7,2,304,62,216,48,26,6,21,5
7,3,306,60,223,41,27,5,23,3
7,4,306,60,224,40,27,5,22,4
7,5,306,60,221,43,27,5,22,4
8,0,305,61,220,44,27,5,22,4
8,1,305,61,219,45,27,5,22,4
8,2,306,60,217,47,27,5,21,5
8,3,306,60,221,43,27,5,22,4
8,4,305,61,223,41,26,6,22,4
8,5,303,63,220,44,26,6,21,5
9,0,306,60,222,42,27,5,22,4
9,1,305,61,222,42,26,6,22,4
9,2,303,63,219,45,26,6,21,5
9,3,305,61,217,47,27,5,22,4
9,4,306,60,221,43,27,5,21,5
9,5,305,61,219,45,27,5,22,4
10,0,305,61,224,40,27,5,22,4
10,1,303,63,218,46,26,6,22,4
10,2,304,62,221,43,26,6,22,4
10,3,307,59,220,44,27,5,21,5
10,4,305,61,218,46,27,5,21,5
10,5,306,60,219,45,27,5,22,4
11,0,306,60,223,41,27,5,23,3
11,1,305,61,222,42,27,5,22,4
11,2,306,60,219,45,27,5,21,5
11,3,305,61,220,44,26,6,21,5
11,4,305,61,219,45,27,5,22,4
11,5,303,63,217,47,26,6,21,5
12,0,303,63,217,47,26,6,21,5
12,1,304,62,223,41,26,6,22,4
12,2,306,60,223,41,27,5,22,4
12,3,306,60,219,45,27,5,22,4
12,4,305,61,221,43,27,5,21,5
12,5,306,60,217,47,27,5,22,4
13,0,304,62,219,45,26,6,21,5
13,1,306,60,219,45,27,5,21,5
13,2,305,61,221,43,27,5,22,4
13,3,307,59,226,38,27,5,23,3
13,4,305,61,217,47,27,5,22,4
13,5,303,63,218,46,26,6,21,5
14,0,304,62,217,47,26,6,21,5
14,1,306,60,218,46,27,5,21,5
14,2,306,60,221,43,27,5,22,4
14,3,303,63,219,45,26,6,21,5
14,4,305,61,221,43,27,5,22,4
14,5,306,60,224,40,27,5,23,3
