comparison,first_model,second_model,metric,delta_estimate,ci_low,ci_high,bootstrap_probability_second_better,direction,n_bootstrap
"Joint stellar block, unadjusted",Period-only curved,Full stellar structure,PR-AUC,0.2945867948048049,0.11897216488713352,0.4734920359844993,1.0,Full stellar structure minus Period-only curved; positive favors second,2000
"Joint stellar block, unadjusted",Period-only curved,Full stellar structure,Recall,0.2533223568152416,-0.05846756622305863,0.5566076002614043,0.942,Full stellar structure minus Period-only curved; positive favors second,2000
"Joint stellar block, unadjusted",Period-only curved,Full stellar structure,Precision,0.15845968594084603,-0.004602908701130813,0.3194108407951121,0.972,Full stellar structure minus Period-only curved; positive favors second,2000
"Joint stellar block, unadjusted",Period-only curved,Full stellar structure,F1,0.19537198525770577,-0.0017857053671561291,0.39716237295358897,0.974,Full stellar structure minus Period-only curved; positive favors second,2000
"Joint stellar block, unadjusted",Period-only curved,Full stellar structure,MCC,0.2208165174569529,-0.008373860521881916,0.4489749935486372,0.971,Full stellar structure minus Period-only curved; positive favors second,2000
"Joint stellar block, unadjusted",Period-only curved,Full stellar structure,Log loss,0.058144282246847395,0.021574342568086873,0.10039826232722028,1.0,Period-only curved minus Full stellar structure; positive favors second,2000
Add stellar radius and mass,Chunk 4 interaction,Full stellar structure,PR-AUC,0.071060801989132,-0.01515915750555312,0.16806990313268955,0.9505,Full stellar structure minus Chunk 4 interaction; positive favors second,2000
Add stellar radius and mass,Chunk 4 interaction,Full stellar structure,Recall,0.07409149711866392,0.0,0.20393317027370253,0.856,Full stellar structure minus Chunk 4 interaction; positive favors second,2000
Add stellar radius and mass,Chunk 4 interaction,Full stellar structure,Precision,0.09195678976281774,-0.004203654126685012,0.19457331807415315,0.9665,Full stellar structure minus Chunk 4 interaction; positive favors second,2000
Add stellar radius and mass,Chunk 4 interaction,Full stellar structure,F1,0.0906385887712936,0.005100308641321788,0.18623990478680955,0.9805,Full stellar structure minus Chunk 4 interaction; positive favors second,2000
Add stellar radius and mass,Chunk 4 interaction,Full stellar structure,MCC,0.09763125062289713,0.007178038117857284,0.1993129521439226,0.9825,Full stellar structure minus Chunk 4 interaction; positive favors second,2000
Add stellar radius and mass,Chunk 4 interaction,Full stellar structure,Log loss,0.009062999895839391,-0.006312764626855752,0.023349392590908666,0.8845,Chunk 4 interaction minus Full stellar structure; positive favors second,2000
Add discovery method,Full stellar structure,Method-adjusted full,PR-AUC,-0.017320214282941282,-0.04229636672824451,-0.002423438933906482,0.002,Method-adjusted full minus Full stellar structure; positive favors second,2000
Add discovery method,Full stellar structure,Method-adjusted full,Recall,0.0,0.0,0.0,0.0,Method-adjusted full minus Full stellar structure; positive favors second,2000
Add discovery method,Full stellar structure,Method-adjusted full,Precision,-0.008908004915762935,-0.030137938197511704,0.0,0.0,Method-adjusted full minus Full stellar structure; positive favors second,2000
Add discovery method,Full stellar structure,Method-adjusted full,F1,-0.006384654392733169,-0.021950573794168222,0.0,0.0,Method-adjusted full minus Full stellar structure; positive favors second,2000
Add discovery method,Full stellar structure,Method-adjusted full,MCC,-0.00620672094018293,-0.021156071222289227,0.0,0.0,Method-adjusted full minus Full stellar structure; positive favors second,2000
Add discovery method,Full stellar structure,Method-adjusted full,Log loss,-0.002336648693082699,-0.004256221931379976,-0.0009093012267450556,0.0,Full stellar structure minus Method-adjusted full; positive favors second,2000
