model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap
Prevalence baseline,PR-AUC,0.07668650793650793,0.04816558441558442,0.10859014249639247,0.07623556998556999,2000
Prevalence baseline,Recall,0.0,0.0,0.0,0.0,2000
Prevalence baseline,Precision,0.0,0.0,0.0,0.0,2000
Prevalence baseline,F1,0.0,0.0,0.0,0.0,2000
Prevalence baseline,MCC,0.0,0.0,0.0,0.0,2000
Prevalence baseline,Log loss,0.2706011267370178,0.19963413741724845,0.34998512324092346,0.2694790835211095,2000
Prevalence baseline,Brier score,0.07080568743701185,0.046659103971976,0.09781616534713632,0.07042391119958086,2000
Chunk 4 interaction,PR-AUC,0.5250968524166152,0.3865815198697341,0.717545950813515,0.5406483771461857,2000
Chunk 4 interaction,Recall,0.7283311772315654,0.535115797459071,0.8999420807705067,0.7371199506807327,2000
Chunk 4 interaction,Precision,0.4504982905361169,0.2954239095287951,0.603236425118714,0.4486332359579014,2000
Chunk 4 interaction,F1,0.5566741573033708,0.3957501057082452,0.6890777097915887,0.5541565640457581,2000
Chunk 4 interaction,MCC,0.5284932923956223,0.3640345531680414,0.6680740084490666,0.5287964683089224,2000
Chunk 4 interaction,Log loss,0.1492092392213646,0.1116006634464077,0.1897872445499947,0.1485418549403381,2000
Chunk 4 interaction,Brier score,0.0483723200347229,0.0336118365400143,0.0645949622181236,0.0480552157740125,2000
Full stellar structure,PR-AUC,0.5961576544057472,0.4453064350976888,0.7934790864761502,0.6137533422629873,2000
Full stellar structure,Recall,0.8024226743502293,0.6262721086685274,0.9497382181427548,0.8101587605777221,2000
Full stellar structure,Precision,0.5424550802989346,0.3830182352377607,0.6897585874260129,0.5412158508782199,2000
Full stellar structure,F1,0.6473127460746644,0.4987929969992717,0.770280866311047,0.6481674039522631,2000
Full stellar structure,MCC,0.6261245430185194,0.4725239041172915,0.7569193839986216,0.6298572654802144,2000
Full stellar structure,Log loss,0.1401462393255252,0.1022617973604635,0.1830780536449338,0.1392385159336849,2000
Full stellar structure,Brier score,0.0440888435912365,0.0295903953920016,0.0600790306532362,0.0437412246958162,2000
Method-adjusted full,PR-AUC,0.5788374401228059,0.4294754944297936,0.783228756130227,0.5953644510450341,2000
Method-adjusted full,Recall,0.8024226743502293,0.6262721086685274,0.9497382181427548,0.8101587605777221,2000
Method-adjusted full,Precision,0.5335470753831717,0.3719245426261965,0.6839504767601501,0.5320472118565706,2000
Method-adjusted full,F1,0.6409280916819312,0.489098162568568,0.7635815349265794,0.6412880218851809,2000
Method-adjusted full,MCC,0.6199178220783365,0.4690858985045988,0.7500400532785783,0.6229361681261592,2000
Method-adjusted full,Log loss,0.1424828880186079,0.1036352670959952,0.1856633934530527,0.1415453775772001,2000
Method-adjusted full,Brier score,0.0448807516230758,0.030095625600796,0.0611085621721371,0.0445390428651981,2000
