model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap,scope
Full stellar structure,PR-AUC,0.5911666003080085,0.3972639674909827,0.8699396218415475,0.6221241520137388,1000,Transit
Full stellar structure,ROC-AUC,0.9794932023470532,0.9616949831400262,0.993037734391722,0.9800999938399694,1000,Transit
Full stellar structure,Recall,0.8451041858749769,0.6184341347761604,1.0,0.8471337579617835,1000,Transit
Full stellar structure,Precision,0.5683988589854893,0.3555283705136835,0.7693006854752296,0.5745715499392154,1000,Transit
Full stellar structure,F1,0.6796678036482278,0.4734846100693631,0.8295704165081779,0.6830916389210673,1000,Transit
Full stellar structure,MCC,0.6717683689269569,0.4769112127539022,0.82531552564144,0.6759411781932518,1000,Transit
Full stellar structure,Balanced accuracy,0.9036425436150808,0.7895681540144357,0.9858365945948456,0.9046061286469448,1000,Transit
Full stellar structure,Log loss,0.1021299823055672,0.0696775777362032,0.1361446507631842,0.1015799221408627,1000,Transit
Full stellar structure,Brier score,0.0323340958795791,0.0197314031947265,0.0464428703975213,0.03221974889848,1000,Transit
Method-adjusted full,PR-AUC,0.5818910161929871,0.3909175440835752,0.8588906234043248,0.6135847207068494,1000,Transit
Method-adjusted full,ROC-AUC,0.977940322025696,0.9601345960103028,0.9922573907535368,0.9785693894152018,1000,Transit
Method-adjusted full,Recall,0.8451041858749769,0.6184341347761604,1.0,0.8471337579617835,1000,Transit
Method-adjusted full,Precision,0.5683988589854893,0.3555283705136835,0.7693006854752296,0.5745715499392154,1000,Transit
Method-adjusted full,F1,0.6796678036482278,0.4734846100693631,0.8295704165081779,0.6830916389210673,1000,Transit
Method-adjusted full,MCC,0.6717683689269569,0.4769112127539022,0.82531552564144,0.6759411781932518,1000,Transit
Method-adjusted full,Balanced accuracy,0.9036425436150808,0.7895681540144357,0.9858365945948456,0.9046061286469448,1000,Transit
Method-adjusted full,Log loss,0.1029637154655451,0.07037158035367,0.1370677712439612,0.1023595492004312,1000,Transit
Method-adjusted full,Brier score,0.0326292328708205,0.01994061030125,0.0468619722142582,0.0324504573669598,1000,Transit
Full stellar structure,PR-AUC,0.5987723265625804,0.3718940551484952,0.8795411597968992,0.6295402502357665,1000,Radial Velocity
Full stellar structure,ROC-AUC,0.8720652856246076,0.7201248338318379,0.9792709897150408,0.8805369385582433,1000,Radial Velocity
Full stellar structure,Recall,0.7333333333333333,0.4117647058823529,1.0,0.75,1000,Radial Velocity
Full stellar structure,Precision,0.4817518248175182,0.2333219178082191,0.7447146234380276,0.4752622377622377,1000,Radial Velocity
Full stellar structure,F1,0.5814977973568283,0.314728875582169,0.7862325752017608,0.5810055865921787,1000,Radial Velocity
Full stellar structure,MCC,0.4636943891130882,0.1481024289130529,0.736509924615957,0.4767487002332894,1000,Radial Velocity
Full stellar structure,Balanced accuracy,0.7663841807909604,0.5849329101054523,0.9339713579337734,0.7757367511228493,1000,Radial Velocity
Full stellar structure,Log loss,0.3715968775868259,0.2264949983462144,0.5342363546334904,0.3634477573145507,1000,Radial Velocity
Full stellar structure,Brier score,0.1143811665713193,0.0599587236290683,0.1758135440856709,0.1100998920886348,1000,Radial Velocity
Method-adjusted full,PR-AUC,0.5894871128935862,0.3551336579471507,0.8736924083369384,0.6211426106400058,1000,Radial Velocity
Method-adjusted full,ROC-AUC,0.8624607658505964,0.7066633103806678,0.9789538822303282,0.8718525959211345,1000,Radial Velocity
Method-adjusted full,Recall,0.7333333333333333,0.4117647058823529,1.0,0.75,1000,Radial Velocity
Method-adjusted full,Precision,0.4429530201342282,0.2058028616852146,0.7062177502579976,0.4362269309637731,1000,Radial Velocity
Method-adjusted full,F1,0.5523012552301254,0.2922231735159817,0.7703848541278708,0.5490196078431373,1000,Radial Velocity
Method-adjusted full,MCC,0.4247233919685508,0.1062616785162905,0.7033865524445411,0.4335995956127862,1000,Radial Velocity
Method-adjusted full,Balanced accuracy,0.7494350282485875,0.5625606630211893,0.915811403508772,0.7593998015873016,1000,Radial Velocity
Method-adjusted full,Log loss,0.3826732283855269,0.2299494490161883,0.5575824126972952,0.3728613271670996,1000,Radial Velocity
Method-adjusted full,Brier score,0.118048107474446,0.0610960481254374,0.182704691179529,0.113899595335195,1000,Radial Velocity
