model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap
Prevalence baseline,PR-AUC,0.0766865079365079,0.04865349927849927,0.10686440295815296,0.07578463203463204,3000
Prevalence baseline,ROC-AUC,0.5,0.5,0.5,0.5,3000
Prevalence baseline,Recall,0.0,0.0,0.0,0.0,3000
Prevalence baseline,Precision,0.0,0.0,0.0,0.0,3000
Prevalence baseline,F1,0.0,0.0,0.0,0.0,3000
Prevalence baseline,MCC,0.0,0.0,0.0,0.0,3000
Prevalence baseline,Balanced accuracy,0.5,0.5,0.5,0.5,3000
Prevalence baseline,Log loss,0.2706011267370178,0.20084818817686126,0.34569106385364246,0.26835704030520124,3000
Prevalence baseline,Brier score,0.07080568743701185,0.047072185860876345,0.0963551076864879,0.07004213496214987,3000
Method-adjusted full,PR-AUC,0.5788374401228059,0.42949644773794254,0.7739907061260903,0.6013621422730011,3000
Method-adjusted full,ROC-AUC,0.9657464484813989,0.9437457017752657,0.984184145015939,0.9667456522205007,3000
Method-adjusted full,Recall,0.8024226743502293,0.6307196969696971,0.9566903042805571,0.8114139368822841,3000
Method-adjusted full,Precision,0.5335470753831717,0.37528260236136635,0.6883562518317109,0.5307900408463196,3000
Method-adjusted full,F1,0.6409280916819312,0.4899745594008048,0.7679873273156858,0.6402885934143192,3000
Method-adjusted full,MCC,0.6199178220783365,0.4713151201552345,0.7536403228919326,0.6213630635747867,3000
Method-adjusted full,Balanced accuracy,0.8720788171755054,0.784723337034944,0.9537043391852259,0.8766342361931977,3000
Method-adjusted full,Log loss,0.14248288801860798,0.10347022391190314,0.18446722643760516,0.14136321440530203,3000
Method-adjusted full,Brier score,0.044880751623075865,0.03019833030404203,0.06077592671659771,0.04445215938658724,3000
Nested shallow random forest,PR-AUC,0.47462006255961586,0.331780414495333,0.6775884948621348,0.49313967876444587,3000
Nested shallow random forest,ROC-AUC,0.9402503043638254,0.9065116157049923,0.9689159576669638,0.94094309747774,3000
Nested shallow random forest,Recall,0.6906974009173233,0.4969209683074103,0.8700519237675167,0.6924283081530471,3000
Nested shallow random forest,Precision,0.5350277853694088,0.3580229377104377,0.7093604993317821,0.5286814644107212,3000
Nested shallow random forest,F1,0.6029774127310062,0.4323157835897712,0.741742699647253,0.6013838796506124,3000
Nested shallow random forest,MCC,0.5709623433245539,0.3942875404823773,0.7208428795838869,0.5717436499099813,3000
Nested shallow random forest,Balanced accuracy,0.8204212265143187,0.7236034995471166,0.9095848151608495,0.8218196100176423,3000
Nested shallow random forest,Log loss,0.16150168537062548,0.1190012431378599,0.20733352629489765,0.15980325091855258,3000
Nested shallow random forest,Brier score,0.05116634404573849,0.03468871598687737,0.06879131048076376,0.0507356182872116,3000
