repeat,fold,train_rows,test_rows,train_hosts,test_hosts,test_positive_hosts,frozen_chunk4_threshold
0,0,306,60,217,47,5,0.3025
0,1,306,60,221,43,4,0.2099999999999999
0,2,305,61,219,45,4,0.261586881579511
0,3,305,61,226,38,4,0.2399999999999999
0,4,303,63,217,47,4,0.2049999999999999
0,5,305,61,220,44,5,0.2249999999999999
1,0,306,60,221,43,4,0.3382848244777565
1,1,303,63,217,47,5,0.2402180262540612
1,2,305,61,220,44,5,0.2875
1,3,306,60,227,37,3,0.2256854926944028
1,4,305,61,217,47,4,0.3164096130345649
1,5,305,61,218,46,5,0.1874999999999999
2,0,304,62,216,48,6,0.2399999999999999
2,1,305,61,223,41,3,0.2399999999999999
2,2,306,60,219,45,4,0.3104514494360641
2,3,306,60,222,42,5,0.1924999999999999
2,4,306,60,219,45,4,0.2976740735841859
2,5,303,63,221,43,4,0.2199999999999999
3,0,304,62,223,41,4,0.2249999999999999
3,1,305,61,221,43,4,0.2214917529134872
3,2,306,60,217,47,5,0.295
3,3,306,60,221,43,4,0.2083451451022084
3,4,306,60,219,45,4,0.1830205197831926
3,5,303,63,219,45,5,0.2149999999999999
4,0,305,61,219,45,5,0.1824999999999999
4,1,303,63,221,43,5,0.2124999999999999
4,2,306,60,217,47,5,0.1724999999999999
4,3,305,61,218,46,5,0.305
4,4,305,61,222,42,3,0.1970613906171638
4,5,306,60,223,41,3,0.2459643398418702
5,0,302,64,218,46,6,0.3299999999999999
5,1,305,61,223,41,4,0.2299999999999999
5,2,305,61,219,45,5,0.1874999999999999
5,3,306,60,219,45,4,0.1874999999999999
5,4,306,60,217,47,4,0.2724999999999999
5,5,306,60,224,40,3,0.237591045228545
6,0,304,62,220,44,6,0.309823515902671
6,1,306,60,223,41,3,0.3224999999999999
6,2,306,60,221,43,4,0.2174999999999999
6,3,303,63,219,45,5,0.305
6,4,306,60,217,47,4,0.2141020365634224
6,5,305,61,220,44,4,0.3025
7,0,305,61,217,47,5,0.2432387473700603
7,1,303,63,219,45,5,0.2324999999999999
7,2,304,62,216,48,5,0.2202633400460509
7,3,306,60,223,41,3,0.2875
7,4,306,60,224,40,4,0.2124999999999999
7,5,306,60,221,43,4,0.2099999999999999
8,0,305,61,220,44,4,0.2925
8,1,305,61,219,45,4,0.2124999999999999
8,2,306,60,217,47,5,0.1749999999999999
8,3,306,60,221,43,4,0.3199999999999999
8,4,305,61,223,41,4,0.1924999999999999
8,5,303,63,220,44,5,0.295
9,0,306,60,222,42,4,0.2049999999999999
9,1,305,61,222,42,4,0.2929215650701754
9,2,303,63,219,45,5,0.2024999999999999
9,3,305,61,217,47,4,0.2449999999999999
9,4,306,60,221,43,5,0.345
9,5,305,61,219,45,4,0.2789692074750888
10,0,305,61,224,40,4,0.2585430678149741
10,1,303,63,218,46,4,0.3274999999999999
10,2,304,62,221,43,4,0.1949999999999999
10,3,307,59,220,44,5,0.3075
10,4,305,61,218,46,5,0.1949999999999999
10,5,306,60,219,45,4,0.2124999999999999
11,0,306,60,223,41,3,0.29
11,1,305,61,222,42,4,0.2374999999999999
11,2,306,60,219,45,5,0.2181743548252017
11,3,305,61,220,44,5,0.2074999999999999
11,4,305,61,219,45,4,0.2049999999999999
11,5,303,63,217,47,5,0.2024999999999999
12,0,303,63,217,47,5,0.1824999999999999
12,1,304,62,223,41,4,0.2439103686932243
12,2,306,60,223,41,4,0.2049999999999999
12,3,306,60,219,45,4,0.281145230916749
12,4,305,61,221,43,5,0.2374999999999999
12,5,306,60,217,47,4,0.2749999999999999
13,0,304,62,219,45,5,0.3485942671940656
13,1,306,60,219,45,5,0.2424999999999999
13,2,305,61,221,43,4,0.2478005081426048
13,3,307,59,226,38,3,0.2894943317603921
13,4,305,61,217,47,4,0.1624999999999999
13,5,303,63,218,46,5,0.1949999999999999
14,0,304,62,217,47,5,0.1949999999999999
14,1,306,60,218,46,5,0.295
14,2,306,60,221,43,4,0.3274999999999999
14,3,303,63,219,45,5,0.2580754839480635
14,4,305,61,221,43,4,0.1874999999999999
14,5,306,60,224,40,3,0.1874999999999999
