feature_group,feature_label,metric,estimate,ci_low,ci_high,bootstrap_probability_positive,n_host_bootstrap,n_permutations_per_outer_fold,permutation_design
log10_period,Orbital period,PR-AUC decrease,0.23463824595538163,0.05935978153175261,0.44556888617683604,0.9926666666666667,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_period,Orbital period,Log-loss increase,0.09097868776433393,0.049448416530187056,0.13976621133770079,1.0,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_teff,Stellar effective temperature,PR-AUC decrease,0.022557471865853163,-0.016588415868178934,0.06785354979739132,0.856,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_teff,Stellar effective temperature,Log-loss increase,0.005523869927065522,-0.0015944381000446092,0.012663912469642236,0.936,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_radius,Stellar radius,PR-AUC decrease,0.04138835391034951,-0.011851193936431045,0.11232451929573581,0.9273333333333333,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_radius,Stellar radius,Log-loss increase,0.006670612937112325,-0.0030466268881579666,0.01654361925024791,0.914,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_stellar_mass,Stellar mass,PR-AUC decrease,0.016946833722447152,-0.026911174989391974,0.06980622544231173,0.758,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
log10_stellar_mass,Stellar mass,Log-loss increase,0.00586766511863776,-0.002360506125251818,0.014027583767579834,0.9126666666666666,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
is_rv,Discovery method,PR-AUC decrease,0.002064161088442318,-0.008177001219006993,0.01534601947032282,0.632,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
is_rv,Discovery method,Log-loss increase,0.000491637362455305,-0.0004903449385095594,0.0016282584919691055,0.8213333333333334,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
stellar_structure_block,Stellar structure jointly,PR-AUC decrease,0.19690760731492468,0.05499223595905701,0.3757510439969165,0.996,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
stellar_structure_block,Stellar structure jointly,Log-loss increase,0.036086248557818806,0.012090270399285686,0.06156611646104407,0.998,1500,12,Physical features permuted within discovery method in each held-out fold; stellar block permuted jointly with one donor permutation.
