repeat,fold,train_rows,test_rows,train_hosts,test_hosts,train_positive_hosts,test_positive_hosts,selected_config,outer_min_samples_leaf,selected_threshold
0,0,306,60,217,47,21,5,Shallow,9,0.3324999999999999
0,1,306,60,221,43,22,4,Very shallow,11,0.2206856296263261
0,2,305,61,219,45,22,4,Shallow,9,0.1249999999999999
0,3,305,61,226,38,22,4,Shallow,9,0.3399999999999999
0,4,303,63,217,47,22,4,Shallow,9,0.305
0,5,305,61,220,44,21,5,Shallow,9,0.3324999999999999
1,0,306,60,221,43,22,4,Shallow,9,0.2474999999999999
1,1,303,63,217,47,21,5,Shallow,9,0.2424999999999999
1,2,305,61,220,44,21,5,Shallow,9,0.2330610055013627
1,3,306,60,227,37,23,3,Shallow,10,0.3178450989978001
1,4,305,61,217,47,22,4,Shallow,9,0.2474999999999999
1,5,305,61,218,46,21,5,Shallow,9,0.2249999999999999
2,0,304,62,216,48,20,6,Very shallow,10,0.1990239323251226
2,1,305,61,223,41,23,3,Shallow,10,0.3025
2,2,306,60,219,45,22,4,Very shallow,11,0.2099999999999999
2,3,306,60,222,42,21,5,Shallow,9,0.1957095315316822
2,4,306,60,219,45,22,4,Shallow,9,0.285
2,5,303,63,221,43,22,4,Shallow,9,0.2049999999999999
3,0,304,62,223,41,22,4,Shallow,9,0.2499999999999999
3,1,305,61,221,43,22,4,Shallow,9,0.3416134861638262
3,2,306,60,217,47,21,5,Shallow,9,0.1950897145591562
3,3,306,60,221,43,22,4,Shallow,9,0.1425
3,4,306,60,219,45,22,4,Shallow,9,0.1774999999999999
3,5,303,63,219,45,21,5,Shallow,9,0.295
4,0,305,61,219,45,21,5,Very shallow,11,0.1705931653291199
4,1,303,63,221,43,21,5,Shallow,9,0.3374999999999999
4,2,306,60,217,47,21,5,Shallow,9,0.2524999999999999
4,3,305,61,218,46,21,5,Shallow,9,0.2799999999999999
4,4,305,61,222,42,23,3,Shallow,10,0.285
4,5,306,60,223,41,23,3,Shallow,10,0.2649999999999999
5,0,302,64,218,46,20,6,Shallow,8,0.3
5,1,305,61,223,41,22,4,Shallow,9,0.2640414900846988
5,2,305,61,219,45,21,5,Shallow,9,0.3512745707922774
5,3,306,60,219,45,22,4,Shallow,9,0.29
5,4,306,60,217,47,22,4,Very shallow,11,0.1482955699871253
5,5,306,60,224,40,23,3,Shallow,10,0.2935146998447039
6,0,304,62,220,44,20,6,Shallow,8,0.2544224156692505
6,1,306,60,223,41,23,3,Very shallow,12,0.187654166460463
6,2,306,60,221,43,22,4,Shallow,9,0.2474999999999999
6,3,303,63,219,45,21,5,Shallow,9,0.2015179055217941
6,4,306,60,217,47,22,4,Very shallow,11,0.2399999999999999
6,5,305,61,220,44,22,4,Shallow,9,0.2599999999999999
7,0,305,61,217,47,21,5,Shallow,9,0.2588525388062161
7,1,303,63,219,45,21,5,Shallow,9,0.2674999999999999
7,2,304,62,216,48,21,5,Very shallow,11,0.1649999999999999
7,3,306,60,223,41,23,3,Very shallow,12,0.2099999999999999
7,4,306,60,224,40,22,4,Shallow,9,0.2714281241899993
7,5,306,60,221,43,22,4,Shallow,9,0.1827788251395899
8,0,305,61,220,44,22,4,Shallow,9,0.2399999999999999
8,1,305,61,219,45,22,4,Shallow,9,0.2182159254817745
8,2,306,60,217,47,21,5,Very shallow,11,0.1679877987418266
8,3,306,60,221,43,22,4,Very shallow,11,0.1679755267327492
8,4,305,61,223,41,22,4,Shallow,9,0.1824999999999999
8,5,303,63,220,44,21,5,Shallow,9,0.145
9,0,306,60,222,42,22,4,Moderate,7,0.1724999999999999
9,1,305,61,222,42,22,4,Very shallow,11,0.1528465656214688
9,2,303,63,219,45,21,5,Very shallow,11,0.1474999999999999
9,3,305,61,217,47,22,4,Very shallow,11,0.2024999999999999
9,4,306,60,221,43,21,5,Shallow,9,0.1874999999999999
9,5,305,61,219,45,22,4,Shallow,9,0.1724999999999999
10,0,305,61,224,40,22,4,Shallow,9,0.1999999999999999
10,1,303,63,218,46,22,4,Shallow,9,0.2624999999999999
10,2,304,62,221,43,22,4,Shallow,9,0.151030109482666
10,3,307,59,220,44,21,5,Shallow,9,0.2565417840807341
10,4,305,61,218,46,21,5,Shallow,9,0.3025
10,5,306,60,219,45,22,4,Shallow,9,0.2109815209730329
11,0,306,60,223,41,23,3,Shallow,10,0.1989371520535926
11,1,305,61,222,42,22,4,Shallow,9,0.2424999999999999
11,2,306,60,219,45,21,5,Shallow,9,0.2774999999999999
11,3,305,61,220,44,21,5,Shallow,9,0.2612681617373422
11,4,305,61,219,45,22,4,Shallow,9,0.2174999999999999
11,5,303,63,217,47,21,5,Shallow,9,0.1549999999999999
12,0,303,63,217,47,21,5,Shallow,9,0.2826007191110135
12,1,304,62,223,41,22,4,Shallow,9,0.3032215533606331
12,2,306,60,223,41,22,4,Shallow,9,0.2749999999999999
12,3,306,60,219,45,22,4,Shallow,9,0.2408965900570065
12,4,305,61,221,43,21,5,Very shallow,11,0.2274999999999999
12,5,306,60,217,47,22,4,Very shallow,11,0.1749999999999999
13,0,304,62,219,45,21,5,Shallow,9,0.295
13,1,306,60,219,45,21,5,Shallow,9,0.2499999999999999
13,2,305,61,221,43,22,4,Shallow,9,0.2649999999999999
13,3,307,59,226,38,23,3,Shallow,10,0.3349999999999999
13,4,305,61,217,47,22,4,Shallow,9,0.3044433174685046
13,5,303,63,218,46,21,5,Shallow,9,0.1316417678985061
14,0,304,62,217,47,21,5,Shallow,9,0.1170088775093353
14,1,306,60,218,46,21,5,Shallow,9,0.2699999999999999
14,2,306,60,221,43,22,4,Shallow,9,0.2474999999999999
14,3,303,63,219,45,21,5,Shallow,9,0.1401659140955706
14,4,305,61,221,43,22,4,Very shallow,11,0.2374999999999999
14,5,306,60,224,40,23,3,Shallow,10,0.1978439478258438
