discovery_method,model,metric,estimate,ci_low,ci_high,n_bootstrap
Transit,Full stellar structure ridge logistic,PR-AUC,0.5911666003080085,0.3969196871032795,0.8605759624887003,2000
Transit,Full stellar structure ridge logistic,ROC-AUC,0.9794932023470533,0.9623357702581979,0.9932955898002148,2000
Transit,Full stellar structure ridge logistic,Recall,0.8451041858749769,0.6223784252484722,1.0,2000
Transit,Full stellar structure ridge logistic,Precision,0.5683988589854893,0.35492126611666747,0.7541319325569341,2000
Transit,Full stellar structure ridge logistic,F1,0.6796678036482278,0.477437600922722,0.8206166144114939,2000
Transit,Full stellar structure ridge logistic,MCC,0.6717683689269569,0.4764341115822325,0.8178821190161709,2000
Transit,Full stellar structure ridge logistic,Balanced accuracy,0.9036425436150807,0.7932617455930193,0.9863399759635301,2000
Transit,Full stellar structure ridge logistic,Log loss,0.10212998230556727,0.06936724006284395,0.13861107580760557,2000
Transit,Full stellar structure ridge logistic,Brier score,0.0323340958795791,0.019576909391098917,0.046801135627576325,2000
Transit,Constrained random forest,PR-AUC,0.5101599000576417,0.3074144617043246,0.7847318986533434,2000
Transit,Constrained random forest,ROC-AUC,0.9630099458627925,0.932648131566554,0.9865171566525229,2000
Transit,Constrained random forest,Recall,0.8119122257053292,0.5714236316933413,1.0,2000
Transit,Constrained random forest,Precision,0.5316348708041536,0.314269711958103,0.7422554735991174,2000
Transit,Constrained random forest,F1,0.6425392192630428,0.4221084449901244,0.8105696095076399,2000
Transit,Constrained random forest,MCC,0.6327901295595526,0.42723131015507354,0.8049146582688924,2000
Transit,Constrained random forest,Balanced accuracy,0.884878485892429,0.7624279768032199,0.9815219993457444,2000
Transit,Constrained random forest,Log loss,0.11745471208829676,0.08035089514117813,0.15742206566143868,2000
Transit,Constrained random forest,Brier score,0.03634172364897509,0.022096697430761474,0.05191690127014364,2000
Transit,Constrained gradient boosting,PR-AUC,0.3830918973654619,0.22180345345359198,0.6235656160666254,2000
Transit,Constrained gradient boosting,ROC-AUC,0.9447480312001533,0.9105629702812668,0.9724357187334098,2000
Transit,Constrained gradient boosting,Recall,0.8451041858749769,0.6069829503335804,1.0,2000
Transit,Constrained gradient boosting,Precision,0.35124156958920905,0.19469771794612561,0.5118746155720866,2000
Transit,Constrained gradient boosting,F1,0.4962373450273402,0.3049845639622626,0.6546609876747913,2000
Transit,Constrained gradient boosting,MCC,0.5069788239404684,0.32452457100560234,0.6597359208930823,2000
Transit,Constrained gradient boosting,Balanced accuracy,0.8765551575885855,0.7582500346175197,0.9616393491779565,2000
Transit,Constrained gradient boosting,Log loss,0.13493122096134333,0.09188092128042169,0.1820201796520815,2000
Transit,Constrained gradient boosting,Brier score,0.04094952064866341,0.024413739016834097,0.05886678206291897,2000
Radial Velocity,Full stellar structure ridge logistic,PR-AUC,0.5987723265625804,0.37056562983963803,0.8694352487379567,2000
Radial Velocity,Full stellar structure ridge logistic,ROC-AUC,0.8720652856246076,0.7209020494743834,0.9797113184298538,2000
Radial Velocity,Full stellar structure ridge logistic,Recall,0.7333333333333333,0.4,1.0,2000
Radial Velocity,Full stellar structure ridge logistic,Precision,0.48175182481751827,0.2255586148469766,0.7473214285714282,2000
Radial Velocity,Full stellar structure ridge logistic,F1,0.5814977973568283,0.30765306122448977,0.7910656110311387,2000
Radial Velocity,Full stellar structure ridge logistic,MCC,0.46369438911308825,0.15331639268005817,0.7337409259063864,2000
Radial Velocity,Full stellar structure ridge logistic,Balanced accuracy,0.7663841807909604,0.587316402967198,0.9262516447368421,2000
Radial Velocity,Full stellar structure ridge logistic,Log loss,0.37159687758682597,0.2260991821820456,0.5441673773886376,2000
Radial Velocity,Full stellar structure ridge logistic,Brier score,0.11438116657131932,0.06006385969982737,0.17817095267538818,2000
Radial Velocity,Constrained random forest,PR-AUC,0.45763364986024774,0.27460000047124594,0.7198522572508195,2000
Radial Velocity,Constrained random forest,ROC-AUC,0.7659133709981166,0.5940825709895903,0.9363311902775294,2000
Radial Velocity,Constrained random forest,Recall,0.4888888888888889,0.21047149122807016,0.8125,2000
Radial Velocity,Constrained random forest,Precision,0.5176470588235295,0.23910455486542445,0.8276036224312087,2000
Radial Velocity,Constrained random forest,F1,0.5028571428571429,0.2307692307692308,0.7203168685927307,2000
Radial Velocity,Constrained random forest,MCC,0.38120286240623946,0.08576087985503074,0.662611724603155,2000
Radial Velocity,Constrained random forest,Balanced accuracy,0.6865348399246705,0.5406228885135135,0.8575304276315787,2000
Radial Velocity,Constrained random forest,Log loss,0.4279259394238084,0.25609205706938853,0.6392475421940371,2000
Radial Velocity,Constrained random forest,Brier score,0.13962980818744802,0.07299558009809085,0.22167115204974622,2000
Radial Velocity,Constrained gradient boosting,PR-AUC,0.3785862895287024,0.21000973467025943,0.6353088268539807,2000
Radial Velocity,Constrained gradient boosting,ROC-AUC,0.7313873195229127,0.5738078261607673,0.8773760542618301,2000
Radial Velocity,Constrained gradient boosting,Recall,0.6888888888888888,0.3636363636363636,1.0,2000
Radial Velocity,Constrained gradient boosting,Precision,0.3069306930693069,0.12268354503297904,0.518918918918919,2000
Radial Velocity,Constrained gradient boosting,F1,0.4246575342465753,0.1919970479704797,0.6321375700539281,2000
Radial Velocity,Constrained gradient boosting,MCC,0.23687130366392392,-0.054149510784734,0.504392075809705,2000
Radial Velocity,Constrained gradient boosting,Balanced accuracy,0.6467043314500941,0.46439975794814503,0.8185981536872431,2000
Radial Velocity,Constrained gradient boosting,Log loss,0.46934654665310094,0.2879114641388034,0.6889746180315999,2000
Radial Velocity,Constrained gradient boosting,Brier score,0.15775201162564786,0.08820177979219858,0.2385978424658269,2000
