model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap
Prevalence baseline,PR-AUC,0.0766865079365079,0.04865349927849927,0.10686440295815296,0.07578463203463204,3000
Prevalence baseline,ROC-AUC,0.5,0.5,0.5,0.5,3000
Prevalence baseline,Recall,0.0,0.0,0.0,0.0,3000
Prevalence baseline,Precision,0.0,0.0,0.0,0.0,3000
Prevalence baseline,F1,0.0,0.0,0.0,0.0,3000
Prevalence baseline,MCC,0.0,0.0,0.0,0.0,3000
Prevalence baseline,Balanced accuracy,0.5,0.5,0.5,0.5,3000
Prevalence baseline,Log loss,0.2706011267370178,0.20084818817686126,0.34569106385364246,0.26835704030520124,3000
Prevalence baseline,Brier score,0.07080568743701185,0.047072185860876345,0.0963551076864879,0.07004213496214987,3000
Full stellar structure ridge logistic,PR-AUC,0.5961576544057472,0.4468533311183269,0.7891853454996255,0.6175939153629573,3000
Full stellar structure ridge logistic,ROC-AUC,0.9685441997270683,0.9475800417839803,0.9856517842143634,0.9695006451515737,3000
Full stellar structure ridge logistic,Recall,0.8024226743502293,0.6307196969696971,0.9566903042805571,0.8114139368822841,3000
Full stellar structure ridge logistic,Precision,0.5424550802989346,0.3788965762256095,0.6976004400400688,0.540568339277133,3000
Full stellar structure ridge logistic,F1,0.6473127460746644,0.4962236643925842,0.7754065167405993,0.6466160015060036,3000
Full stellar structure ridge logistic,MCC,0.6261245430185194,0.4763845116386407,0.7611943392134174,0.6285340652723567,3000
Full stellar structure ridge logistic,Balanced accuracy,0.8731044381645947,0.7857146127952253,0.9548519851695945,0.8777802223603108,3000
Full stellar structure ridge logistic,Log loss,0.1401462393255252,0.10172093908661659,0.1810087306900545,0.13906030978995387,3000
Full stellar structure ridge logistic,Brier score,0.04408884359123658,0.029613470479679438,0.05955938475389062,0.04365177078519725,3000
Constrained random forest,PR-AUC,0.47462006255961586,0.331780414495333,0.6775884948621348,0.49313967876444587,3000
Constrained random forest,ROC-AUC,0.9402503043638254,0.9065116157049923,0.9689159576669638,0.94094309747774,3000
Constrained random forest,Recall,0.6906974009173233,0.4969209683074103,0.8700519237675167,0.6924283081530471,3000
Constrained random forest,Precision,0.5350277853694088,0.3580229377104377,0.7093604993317821,0.5286814644107212,3000
Constrained random forest,F1,0.6029774127310062,0.4323157835897712,0.741742699647253,0.6013838796506124,3000
Constrained random forest,MCC,0.5709623433245539,0.3942875404823773,0.7208428795838869,0.5717436499099813,3000
Constrained random forest,Balanced accuracy,0.8204212265143187,0.7236034995471166,0.9095848151608495,0.8218196100176423,3000
Constrained random forest,Log loss,0.16150168537062543,0.11900124313785987,0.20733352629489765,0.15980325091855255,3000
Constrained random forest,Brier score,0.05116634404573849,0.03468871598687737,0.06879131048076376,0.0507356182872116,3000
Constrained gradient boosting,PR-AUC,0.3656429147965009,0.24313524737183248,0.5481604769041394,0.38061404566882034,3000
Constrained gradient boosting,ROC-AUC,0.9186650614665941,0.8824746069360944,0.949733393093776,0.9192472583065543,3000
Constrained gradient boosting,Recall,0.7859578972127484,0.5999257286249378,0.9446402230141864,0.7913432207278952,3000
Constrained gradient boosting,Precision,0.3368787176126625,0.21455602156116685,0.4648575911753249,0.3327693209879452,3000
Constrained gradient boosting,F1,0.47161356338873,0.3253378237197046,0.5989354197291378,0.4676634066648434,3000
Constrained gradient boosting,MCC,0.45644480198394854,0.31016474359665347,0.5861181185962393,0.4551347702144868,3000
Constrained gradient boosting,Balanced accuracy,0.8287311195041345,0.7304241870191409,0.9111573441505015,0.8316197790127313,3000
Constrained gradient boosting,Log loss,0.18251924810396206,0.1339258120425679,0.23392503237382364,0.18063969244823205,3000
Constrained gradient boosting,Brier score,0.05768878365826514,0.039066481797817715,0.07709228664470781,0.057238446489473946,3000
