comparison,first_model,second_model,metric,delta_estimate,ci_low,ci_high,bootstrap_probability_second_better,direction,n_bootstrap
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,PR-AUC,-0.2305147396092463,-0.3635314852725388,-0.12054311160123465,0.0,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,ROC-AUC,-0.04987913826047419,-0.08095792864022,-0.023875137283543058,0.0,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,Recall,-0.016464777137480846,-0.25947086326833163,0.23065678833646008,0.387,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,Precision,-0.2055763626862721,-0.33356034768798326,-0.08559982407042155,0.0003333333333333333,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,F1,-0.17569918268593437,-0.3237769433386285,-0.03612601929508899,0.007333333333333333,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,MCC,-0.16967974103457084,-0.3417379339311623,-0.0051705400071799705,0.020666666666666667,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,Balanced accuracy,-0.04437331866046024,-0.16896781198150013,0.07951082384142334,0.222,Constrained gradient boosting minus Full stellar structure ridge logistic; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,Log loss,-0.04237300877843686,-0.06656859326035561,-0.02011372645954088,0.0,Full stellar structure ridge logistic minus Constrained gradient boosting; positive favors Constrained gradient boosting,3000
Gradient boosting versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained gradient boosting,Brier score,-0.013599940067028554,-0.02230631500675038,-0.005855334226297001,0.0003333333333333333,Full stellar structure ridge logistic minus Constrained gradient boosting; positive favors Constrained gradient boosting,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,PR-AUC,-0.12153759184613133,-0.2354586530646348,-0.0187525844937488,0.011,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,ROC-AUC,-0.028293895363242894,-0.051872117367608654,-0.007732410365252426,0.0036666666666666666,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,Recall,-0.11172527343290595,-0.2975461063482343,0.06350857216914765,0.09533333333333334,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,Precision,-0.007427294929525874,-0.14712467620012248,0.13034297261141334,0.46166666666666667,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,F1,-0.044335333343658134,-0.1837317570372138,0.08671533103252697,0.24766666666666667,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,MCC,-0.05516219969396552,-0.20806090136566288,0.089366287040988,0.221,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,Balanced accuracy,-0.05268321165027601,-0.148285611477703,0.03413316266730862,0.10966666666666666,Constrained random forest minus Full stellar structure ridge logistic; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,Log loss,-0.02135544604510023,-0.038859295221719665,-0.0032856167372471916,0.014,Full stellar structure ridge logistic minus Constrained random forest; positive favors Constrained random forest,3000
Corrected forest comparison versus primary logistic benchmark,Full stellar structure ridge logistic,Constrained random forest,Brier score,-0.007077500454501909,-0.013591514547855807,-0.0005195669988979362,0.019333333333333334,Full stellar structure ridge logistic minus Constrained random forest; positive favors Constrained random forest,3000
Gradient boosting versus random forest,Constrained random forest,Constrained gradient boosting,PR-AUC,-0.10897714776311496,-0.21958661578709024,-0.01607838777399086,0.011,Constrained gradient boosting minus Constrained random forest; positive favors Constrained gradient boosting,3000
Gradient boosting versus random forest,Constrained random forest,Constrained gradient boosting,ROC-AUC,-0.021585242897231294,-0.05327192959186116,0.007265383049932706,0.073,Constrained gradient boosting minus Constrained random forest; positive favors Constrained gradient boosting,3000
Gradient boosting versus random forest,Constrained random forest,Constrained gradient boosting,Recall,0.0952604962954251,-0.14286158493248038,0.3221544802562382,0.7843333333333333,Constrained gradient boosting minus Constrained random forest; positive favors Constrained gradient boosting,3000
Gradient boosting versus random forest,Constrained random forest,Constrained gradient boosting,Precision,-0.19814906775674623,-0.3417623653882134,-0.06435505484937461,0.0013333333333333333,Constrained gradient boosting minus Constrained random forest; positive favors Constrained gradient boosting,3000
Gradient boosting versus random forest,Constrained random forest,Constrained gradient boosting,F1,-0.13136384934227624,-0.2840043868025756,0.015736732627814436,0.03966666666666667,Constrained gradient boosting minus Constrained random forest; positive favors Constrained gradient boosting,3000
