classifier_model,metric,estimate,ci_low,ci_high,n_bootstrap
Constrained gradient boosting,Binary HZ agreement,0.8706259018759019,0.8303097943722945,0.9084607233044732,3000
Constrained gradient boosting,HZ-set Jaccard,0.3376581401791486,0.22062329008322348,0.4646587303396382,3000
Constrained gradient boosting,Regression HZ share,0.08236832611832612,0.0526954816017316,0.1150719246031746,3000
Constrained gradient boosting,Classifier HZ share,0.1789141414141414,0.1357323232323232,0.22468434343434343,3000
Constrained gradient boosting,"Regression HZ, classifier non-HZ",0.016414141414141412,0.003787878787878788,0.03159722222222234,3000
Constrained gradient boosting,"Regression non-HZ, classifier HZ",0.1129599567099567,0.07765151515151515,0.1498466810966811,3000
Constrained random forest,Binary HZ agreement,0.9207792207792208,0.8885723304473305,0.9499560335497836,3000
Constrained random forest,HZ-set Jaccard,0.3919844950508756,0.25000000000000006,0.5431325726280424,3000
Constrained random forest,Regression HZ share,0.08236832611832612,0.0526954816017316,0.1150719246031746,3000
Constrained random forest,Classifier HZ share,0.09899891774891775,0.06579162157287158,0.13446969696969696,3000
Constrained random forest,"Regression HZ, classifier non-HZ",0.0312950937950938,0.012987012987012986,0.05375405844155846,3000
Constrained random forest,"Regression non-HZ, classifier HZ",0.04792568542568543,0.026198142135642134,0.07368326118326117,3000
Full stellar structure ridge logistic,Binary HZ agreement,0.9386273448773448,0.9092712842712842,0.9635642135642135,3000
Full stellar structure ridge logistic,HZ-set Jaccard,0.5227240847243653,0.36917440961352604,0.6787168571956959,3000
Full stellar structure ridge logistic,Regression HZ share,0.08236832611832612,0.0526954816017316,0.1150719246031746,3000
Full stellar structure ridge logistic,Classifier HZ share,0.11343795093795093,0.0785159632034632,0.15057607323232328,3000
Full stellar structure ridge logistic,"Regression HZ, classifier non-HZ",0.015151515151515152,0.003787878787878788,0.030303030303030304,3000
Full stellar structure ridge logistic,"Regression non-HZ, classifier HZ",0.04622113997113997,0.025702335858585855,0.07035082972582973,3000
