feature_group,feature_label,metric,estimate,ci_low,ci_high,bootstrap_probability_positive,n_host_bootstrap,n_permutations_per_outer_fold,permutation_design
log10_period,Orbital period,PR-AUC decrease,0.1266550211534952,-0.0630805118303937,0.31406876616740703,0.915,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_period,Orbital period,Log-loss increase,0.06768227992703571,0.02722351131025956,0.11398121871872395,1.0,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_teff,Stellar effective temperature,PR-AUC decrease,0.057390699200694284,-0.0009925064032911943,0.13012759707293875,0.9666666666666667,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_teff,Stellar effective temperature,Log-loss increase,0.00687791350014047,-0.002183566056445226,0.01698160642227818,0.91,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_radius,Stellar radius,PR-AUC decrease,0.07044878464515225,0.012571995293006276,0.15990712530244833,0.99,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_radius,Stellar radius,Log-loss increase,0.005061471541351642,-2.9026644553165698e-06,0.01146580648509331,0.975,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_stellar_mass,Stellar mass,PR-AUC decrease,0.06155888535218196,0.005718672769952321,0.13397600264406956,0.9866666666666667,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
log10_stellar_mass,Stellar mass,Log-loss increase,0.007269715010722239,-0.0010979295298060615,0.01717544056812182,0.9516666666666667,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
stellar_structure_block,Stellar structure jointly,PR-AUC decrease,0.10810387358899626,0.026869661034000823,0.21684052467006676,0.99,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
stellar_structure_block,Stellar structure jointly,Log-loss increase,0.0265611598524568,0.008553303988067145,0.04783148091819207,0.995,600,8,Period permuted by planet within discovery method; stellar quantities permuted by host within method; stellar block permuted jointly using one donor host.
