model,metric,estimate,ci_low,ci_high,n_bootstrap
Physics-form ridge log-flux regression,MAE_dex,0.030043259891403242,0.023957478321279906,0.03689981508929833,3000
Physics-form ridge log-flux regression,RMSE_dex,0.06238107328248178,0.047844609446936345,0.07639984995790505,3000
Physics-form ridge log-flux regression,R2,0.9969900210804098,0.9954166182234548,0.9982254888695471,3000
Physics-form ridge log-flux regression,MAE_multiplicative_factor,1.0716260441427297,1.0567140415054341,1.0886789232904677,3000
Physics-form ridge log-flux regression,RMSE_multiplicative_factor,1.1544658037694313,1.1164637057580686,1.192339276188471,3000
Training-mean log-flux baseline,MAE_dex,0.9357328669368365,0.8624925806208943,1.010717676237905,3000
Training-mean log-flux baseline,RMSE_dex,1.14084339122884,1.0621940041110811,1.2190918476405639,3000
Training-mean log-flux baseline,R2,-0.0067226286788897305,-0.024721340089674738,-0.0057801370759026464,3000
Training-mean log-flux baseline,MAE_multiplicative_factor,8.624478958063664,7.28605727256577,10.249853938646412,3000
Training-mean log-flux baseline,RMSE_multiplicative_factor,13.83067547933279,11.539686374719322,16.561201989342283,3000
