CUST_ID,segment,persona,assignment_margin,distance_to_centroid,confident,model_version,assignment_agreement
C10001,1,High-Spend Transactor,0.4657,3.2404,True,1.0.0,0.575
C10002,0,Cash-Advance Reliant,0.5969,2.4362,True,1.0.0,0.45
C10003,1,High-Spend Transactor,0.2129,3.7158,True,1.0.0,0.575
C10004,1,High-Spend Transactor,0.0033,7.3233,False,1.0.0,0.525
C10005,1,High-Spend Transactor,0.0392,4.4642,False,1.0.0,0.575
C10006,1,High-Spend Transactor,0.1817,3.9354,True,1.0.0,0.575
C10007,1,High-Spend Transactor,0.1942,5.0111,True,1.0.0,0.575
C10008,1,High-Spend Transactor,0.3153,3.37,True,1.0.0,0.575
C10009,1,High-Spend Transactor,0.5716,1.8844,True,1.0.0,0.575
C10010,1,High-Spend Transactor,0.3759,3.9727,True,1.0.0,0.575
C10011,1,High-Spend Transactor,0.1748,4.3146,True,1.0.0,0.575
C10012,1,High-Spend Transactor,0.388,3.332,True,1.0.0,0.575
C10013,1,High-Spend Transactor,0.314,3.1495,True,1.0.0,0.575
C10014,1,High-Spend Transactor,0.4696,2.4952,True,1.0.0,0.575
C10015,0,Cash-Advance Reliant,0.7017,1.7995,True,1.0.0,0.45
C10016,2,Revolving Borrower,0.5593,2.6244,True,1.0.0,0.475
C10017,0,Cash-Advance Reliant,0.7138,1.7971,True,1.0.0,0.45
C10018,1,High-Spend Transactor,0.5864,2.7038,True,1.0.0,0.575
C10019,1,High-Spend Transactor,0.3713,2.769,True,1.0.0,0.575
C10020,1,High-Spend Transactor,0.0632,5.1023,False,1.0.0,0.575
C10021,1,High-Spend Transactor,0.1113,5.221,False,1.0.0,0.575
C10022,2,Revolving Borrower,0.4786,3.2682,True,1.0.0,0.475
C10023,1,High-Spend Transactor,0.5704,2.5116,True,1.0.0,0.575
C10024,2,Revolving Borrower,0.5542,2.8738,True,1.0.0,0.475
C10025,0,Cash-Advance Reliant,0.6975,1.7628,True,1.0.0,0.45
