month,source_raw,source_mart,diff,diff_pct
2010-12,748957.02,572713.89,176243.13,23.53
2011-01,560000.26,569445.04,-9444.780000000028,-1.69
2011-02,498062.65,447137.35,50925.30000000005,10.22
2011-03,683267.08,595500.76,87766.31999999995,12.85
2011-04,493207.121,469200.361,24006.76000000001,4.87
2011-05,723333.51,678594.56,44738.94999999995,6.19
2011-06,691123.12,661213.6900000001,29909.429999999935,4.33
2011-07,681300.111,600091.011,81209.09999999998,11.92
2011-08,682680.51,645343.9,37336.609999999986,5.47
2011-09,1019687.622,952838.382,66849.23999999999,6.56
2011-10,1070704.67,1039318.79,31385.87999999989,2.93
2011-11,1461756.25,1161817.3800000001,299938.8699999999,20.52
2011-12,433668.01,518192.79000000004,-84524.78000000003,-19.49
