table,column,type,pk,not_null,rows,non_null,null_pct,distinct
customers,CustomerID,INTEGER,True,False,4338,4338,0.0,4338
customers,Country,TEXT,False,True,4338,4338,0.0,37
customers,FirstPurchase,TEXT,False,False,4338,4338,0.0,4240
customers,LastPurchase,TEXT,False,False,4338,4338,0.0,4199
customers,Orders,INTEGER,False,False,4338,4338,0.0,59
invoice_lines,LineID,INTEGER,True,False,397884,397884,0.0,397884
invoice_lines,InvoiceNo,TEXT,False,True,397884,397884,0.0,18532
invoice_lines,StockCode,TEXT,False,True,397884,397884,0.0,3665
invoice_lines,Quantity,INTEGER,False,True,397884,397884,0.0,301
invoice_lines,UnitPrice,REAL,False,True,397884,397884,0.0,440
invoice_lines,LineRevenue,REAL,False,True,397884,397884,0.0,2939
invoice_lines,InvoiceDate,TEXT,False,True,397884,397884,0.0,17282
invoices,InvoiceNo,TEXT,True,False,18532,18532,0.0,18532
invoices,CustomerID,INTEGER,False,True,18532,18532,0.0,4338
invoices,InvoiceDate,TEXT,False,True,18532,18532,0.0,17257
invoices,Country,TEXT,False,False,18532,18532,0.0,37
invoices,Lines,INTEGER,False,False,18532,18532,0.0,199
invoices,InvoiceRevenue,REAL,False,False,18532,18532,0.0,15268
products,StockCode,TEXT,True,False,3665,3665,0.0,3665
products,Description,TEXT,False,False,3665,3665,0.0,3647
products,AvgUnitPrice,REAL,False,False,3665,3665,0.0,2640
products,TotalQtySold,INTEGER,False,False,3665,3665,0.0,1748
