cohort_period,Cohort Size,Period 0,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12
2010-12-01,885,100.0,36.6,32.3,38.4,36.3,39.8,36.3,34.9,35.4,39.5,37.4,50.3,26.6
2011-01-01,417,100.0,22.1,26.6,23.0,32.1,28.8,24.7,24.2,30.0,32.6,36.5,11.8,
2011-02-01,380,100.0,18.7,18.7,28.4,27.1,24.7,25.3,27.9,24.7,30.5,6.8,,
2011-03-01,452,100.0,15.0,25.2,19.9,22.3,16.8,26.8,23.0,27.9,8.6,,,
2011-04-01,300,100.0,21.3,20.3,21.0,19.7,22.7,21.7,26.0,7.3,,,,
2011-05-01,284,100.0,19.0,17.3,17.3,20.8,23.2,26.4,9.5,,,,,
2011-06-01,242,100.0,17.4,15.7,26.4,23.1,33.5,9.5,,,,,,
2011-07-01,188,100.0,18.1,20.7,22.3,27.1,11.2,,,,,,,
2011-08-01,169,100.0,20.7,24.9,24.3,12.4,,,,,,,,
2011-09-01,299,100.0,23.4,30.1,11.4,,,,,,,,,
2011-10-01,358,100.0,24.0,11.5,,,,,,,,,,
2011-11-01,323,100.0,11.1,,,,,,,,,,,
2011-12-01,41,100.0,,,,,,,,,,,,
